ticker_id,company_id,ticker
592,317,ACGU3
593,318,GUAR3
594,318,GUAR4
595,319,GVTT3
596,320,HBTS3
597,320,HBTS5
598,320,HBTS6
599,321,HAGA3
600,321,HAGA4
601,1098,HALI34
602,322,HPIA3
603,1099,HNZB11B
604,323,HBOR3
605,324,HETA3
606,324,HETA4
608,1100,HPQB34
609,1101,HOME34
610,1102,HONB34
611,326,HOOT3
612,326,HOOT4
613,327,HRTP3
614,328,BSEG4
615,329,HYPE3
616,330,IDNT3
617,331,IENG3
618,331,IENG5
619,331,IENG6
620,332,IGBR3
621,332,IGBR5
622,332,IGBR6
623,332,IGBR7
624,333,IGUA3
625,333,IGUA5
626,333,IGUA6
627,334,IGTA3
628,335,IMCH3
629,336,IMPE4
630,337,IBRC4
631,338,CATA3
632,338,CATA4
633,339,ROMI3
634,339,ROMI4
635,340,IDVL3
636,340,IDVL4
637,340,IDVL11
638,341,INEP3
639,341,INEP4
640,342,INET3
641,1103,ITLC34
642,1104,IBMB34
643,343,FIGE3
644,343,FIGE4
645,344,MYPK3
646,344,MYPK4
647,345,DPPI3
648,345,DPPI4
649,346,PTIP3
650,346,PTIP4
651,347,RIPI3
652,347,RIPI4
653,348,SQRM3
654,348,SQRM4
655,348,SQRM11
656,349,ITSA3
657,349,ITSA4
658,350,ITEC3
659,351,ITUB3
660,351,ITUB
661,351,ITUB4
662,352,IVEN3
663,352,IVEN4
664,353,VRLM4
665,354,JBDU3
666,354,JBDU4
667,355,JFAB4
668,356,JBSS3
669,357,MLFT3
670,357,MLFT4
671,358,JHSF3
672,359,JFEN3
673,1105,JNJB34
674,360,JOPA3
675,360,JOPA4
676,1106,JPMC34
677,361,JSLG3
678,362,CTKA3
679,362,CTKA4
680,363,KEPL3
681,364,RCLL3
682,364,RCLL4
683,364,RCLL5
684,364,RCLL7
685,365,KLBN3
686,365,KLBN4
687,365,KLBN11
688,366,KSSA3
689,1107,KFGI34
690,367,KROT11+KROT3
691,367,KROT3
692,367,KROT4
693,367,KROT11
694,368,ARTE3
695,368,ARTE4
696,369,LFFE3
697,369,LFFE4
698,370,MILK33
699,1108,LATM33
700,371,LARK3
701,371,LARK4
702,372,LLIS3
703,373,LECO3
704,373,LECO4
705,374,PITI3
706,374,PITI4
707,375,MLPP3
708,376,LIAS4
709,377,LIGT3
710,1109,LILY34
711,378,ILLS4
712,1110,LNKD34
713,379,LINX3
714,380,LTEL3B
715,380,LTEL5B
716,380,LTEL11B
717,381,LGLO3
718,381,LGLO4
719,382,LIXC3
720,382,LIXC4
721,505,PRML3
722,383,RENT3
723,384,LCAM3
724,1111,LMTB34
725,385,LOGN3
726,386,LAME3
727,386,LAME4
728,387,LOAR4
729,388,LHER3
730,388,LHER4
731,389,AMAR3
732,390,LREN3
733,390,LREN4
734,391,LPSB3
735,392,LORZ4
736,393,LUPA3
737,394,RHDS3
738,394,RHDS4
739,395,MDIA3
740,396,MADE4
741,397,MGLU3
742,398,MAGS3
743,398,MAGS5
744,398,MAGS7
745,399,MAGG3
746,400,MLCF4
747,401,GALO4
748,402,MAKR3
749,403,MNSA3
750,403,MNSA4
751,404,MGEL3
752,404,MGEL4
753,405,MANM3
754,405,MANM4
755,406,CTPC3
756,406,CTPC4
757,407,POMO3
758,407,POMO4
759,408,MRFG3
760,409,MRSL3
761,409,MRSL4
762,1112,MSCD34
763,1113,MCDC34
764,410,MCWS3
765,410,MCWS4
766,411,MEC4
767,412,MEDI3
768,413,MSPA3
769,413,MSPA4
770,414,MLPA3
771,414,MLPA4
772,415,MEND3
773,415,MEND5
774,415,MEND6
775,416,BMEB3
776,416,BMEB4
777,417,MERC3
778,417,MERC4
779,418,BMIN3
780,418,BMIN4
781,419,BMCT4
782,1114,MRCK34
783,420,MESB4
784,421,DUQE3
785,421,DUQE4
786,422,MTIG3
787,422,MTIG4
788,423,LEVE3
789,423,LEVE4
790,424,FRIO3
791,425,MTSA3
792,425,MTSA4
793,426,MTDO3
794,426,MTDO4
795,426,MTDO5
796,426,MTDO6
797,426,MTDO7
798,426,MTDO8
799,427,LETO3
800,427,LETO5
801,1115,MSFT34
802,428,TIBR3
803,428,TIBR5
804,428,TIBR6
805,429,MILS3
806,430,MMAQ3
807,430,MMAQ4
808,431,BEEF3
809,432,MNPR3
810,432,MNPR4
811,433,MMXM3
812,1116,KFTB11B
813,1117,MSTO34
814,434,MOAR3
815,435,VEMG4
816,1118,MSBR34
817,436,MRVE3
818,437,MULL4
819,438,MULT3
820,439,MPLU3
821,440,MNDL3
822,440,MNDL4
823,441,BNAC3
824,441,BNAC4
825,442,NAFG3
826,442,NAFG4
827,443,NAKT4
828,444,NATU3
829,445,GNAN3B
830,446,NETC3
832,446,NETC4
833,1119,NFLX34
834,1120,NIKE34
835,447,CARB5
836,448,BNBR3
837,448,BNBR4
838,449,NORD3
839,450,NRTQ3
840,451,BNCA3
841,452,NUTR3
842,453,ODBE4
843,454,ODER3
844,454,ODER4
845,455,ODPV3
846,456,OGXP3
847,457,OIBR.C
848,457,OIBR3
849,457,OIBR4
850,457,OIBR
851,458,OLMA4
852,459,OLVB4
853,1121,ORCL34
854,460,ORIO4
855,461,OSXB3
856,462,OXIT4
857,463,PCAR3
858,463,PCAR4
859,1122,CBD
860,1123,PREB32
861,464,BPNM3
862,464,BPNM4
863,465,PATI3
864,465,PATI4
865,466,PNXS4
866,467,PEAB3
867,467,PEAB4
868,468,PRBN4
869,469,PRBC3
870,469,PRBC4
871,469,PRBC11
872,470,PMAM3
873,470,PMAM4
874,471,PALF3
875,471,PALF5
876,471,PALF6
877,471,PALF7
878,472,PDGR3
879,473,PXEC4
880,1124,PEPB34
881,474,PRSC4
882,475,RPMG3
883,475,RPMG4
884,1125,APBR
885,476,PETR3
886,1126,PBR
887,1125,APBRA
888,476,PETR4
889,1127,PBR.A
890,477,BRDT4
891,478,PEFX3
892,478,PEFX5
893,479,PQUN3
894,479,PQUN4
895,480,PTQS3
896,480,PTQS4
897,481,PTNT3
898,481,PTNT4
899,482,PVPR4
900,483,PVFS4
901,1128,PFIZ34
902,1129,PHMO34
903,484,PINE3
904,484,PINE4
905,485,PIRE3
906,485,PIRE4
907,486,PIPN3
908,486,PIPN4
909,487,PLAS3
910,487,PLAS4
911,488,POLA3
912,488,POLA4
913,489,PLDN3
914,489,PLDN4
915,490,POPR3
916,490,POPR4
917,491,PORP3
918,491,PORP4
919,492,PLTO3
920,492,PLTO5
921,492,PLTO6
922,493,PPAR3
923,494,PSSA3
924,495,PTBL3
925,495,PTBL4
926,496,PRTX3
927,497,POSI3
928,498,PQTM3
929,498,PQTM4
930,499,PMET3
931,499,PMET5
932,499,PMET6
933,1130,PGCO34
934,500,PFRM3
935,501,BPRG4
936,502,PMT4
937,503,PNOR3
938,503,PNOR5
939,503,PNOR6
940,504,PRVI3
941,506,QGEP3
942,1131,QCOM34
943,507,QUAL3
944,508,QUSW3
945,509,SZPQ3
946,509,SZPQ4
947,510,QGNE4
948,511,RAIA3
949,512,RADL3
950,512,DROG5
951,512,DROG6
952,512,DROG7
953,512,DROG8
954,512,DROG11
955,512,DROG12
956,512,DROG13
957,512,DROG14
958,513,RASL3
959,513,RASL4
960,514,RAPT3
961,514,RAPT4
962,515,RSIP3
963,515,RSIP4
964,516,REAL3
965,516,REAL4
966,517,RCPR3
967,517,RCPR11
968,517,RCPR12
969,518,RHPR3
970,518,RHPR4
971,519,RPPR3
972,519,RPPR6
973,520,RCSL3
974,520,RCSL4
975,521,REDE3
976,521,REDE4
977,522,RDCD3
978,523,RDTR3
979,524,RHER4
980,525,RNAR3
981,526,RNPT3
982,526,RNPT4
983,527,RNEW3
984,527,RNEW4
985,527,RNEW11
986,528,LATS3
987,529,REEM3
988,529,REEM4
989,530,RGEG3
990,531,RSUL3
991,531,RSUL4
992,532,RPSA3
993,532,RPSA4
994,533,RJCP3
995,534,RDNI3
996,535,RSID3
997,536,BARB3
998,536,BARB4
999,537,VSMA3
1000,1132,SBS
1001,538,SBSP3
1002,539,SDIA3
1003,539,SDIA4
1005,540,FCAP3
1006,540,FCAP4
1007,541,SAMI4
1008,542,SAPR3
1009,542,SAPR4
1010,543,SNSY3
1011,543,SNSY5
1012,543,SNSY6
1013,544,SANB3
1014,544,SANB4
1015,544,SANB11
1016,1133,BSBR
1017,545,BNET4
1018,546,CTSA3
1019,546,CTSA4
1020,546,CTSA8
1021,547,MFLU3
1022,548,ASTA3
1023,548,ASTA4
1024,549,STBR3
1025,549,STBR4
1026,549,STBR11
1027,550,STBP3
1028,550,STBP4
1029,550,STBP11
